,fdp,power,method,es,num,seed
0,0.06779661016949153,1.0,adacs,0.5930055738686849,118,0
0,0.07692307692307693,0.9818181818181818,adacs.div,0.5902955332232381,117,0
0,0.11290322580645161,1.0,CS,0.5930055738686849,124,0
0,0.10101010101010101,0.9888888888888889,adacs,0.5909510788644695,99,1
0,0.13592233009708737,0.9888888888888889,adacs.div,0.5909510788644696,103,1
0,0.09183673469387756,0.9888888888888889,CS,0.5909510788644695,98,1
0,0.045871559633027525,0.9811320754716981,adacs,0.6043937603004854,109,2
0,0.08256880733944955,0.9433962264150944,adacs.div,0.6001752058912526,109,2
0,0.07894736842105263,0.9905660377358491,CS,0.6029578920689602,114,2
0,0.12844036697247707,0.95,adacs,0.5843868830823229,109,3
0,0.15254237288135594,1.0,adacs.div,0.5832903752540781,118,3
0,0.11764705882352941,0.45,CS,0.5792697213686161,51,3
0,0.12727272727272726,0.9896907216494846,adacs,0.5878390512535608,110,4
0,0.0989010989010989,0.845360824742268,adacs.div,0.5756225690742476,91,4
0,0.22033898305084745,0.4742268041237113,CS,0.5756770844489484,59,4
0,0.05714285714285714,0.9339622641509434,adacs,0.5982829526893132,105,5
0,0.05405405405405406,0.9905660377358491,adacs.div,0.594921739386293,111,5
0,0.05660377358490566,0.9433962264150944,CS,0.5986094435422309,106,5
0,0.041237113402061855,0.9489795918367347,adacs,0.5880594453959787,97,6
0,0.06862745098039216,0.9693877551020408,adacs.div,0.5872230077121398,102,6
0,0.03488372093023256,0.8469387755102041,CS,0.5882975994951343,86,6
0,0.06086956521739131,0.972972972972973,adacs,0.5784706681757045,115,7
0,0.041237113402061855,0.8378378378378378,adacs.div,0.570142361504048,97,7
0,0.07894736842105263,0.9459459459459459,CS,0.578434347685529,114,7
0,0.14166666666666666,0.9903846153846154,adacs,0.593045671682565,120,8
0,0.08849557522123894,0.9903846153846154,adacs.div,0.593045671682565,113,8
0,0.09565217391304348,1.0,CS,0.5924328497219365,115,8
0,0.1953125,0.9809523809523809,adacs,0.5943629120963232,128,9
0,0.07407407407407407,0.9523809523809523,adacs.div,0.5926487077820105,108,9
0,0.1532258064516129,1.0,CS,0.5932192665102667,124,9
0,0.09523809523809523,0.979381443298969,adacs,0.599474753646827,105,10
0,0.11764705882352941,0.9278350515463918,adacs.div,0.5934391682767939,102,10
0,0.09345794392523364,1.0,CS,0.5996685711692764,107,10
0,0.10204081632653061,0.9887640449438202,adacs,0.5912616573456906,98,11
0,0.12745098039215685,1.0,adacs.div,0.5921244128488149,102,11
0,0.14423076923076922,1.0,CS,0.5921244128488148,104,11
0,0.09259259259259259,0.9514563106796117,adacs,0.6030522770508535,108,12
0,0.12727272727272726,0.9320388349514563,adacs.div,0.5935273116540635,110,12
0,0.09090909090909091,0.970873786407767,CS,0.6018366308799835,110,12
0,0.09090909090909091,0.9615384615384616,adacs,0.5865002964492118,110,13
0,0.11009174311926606,0.9326923076923077,adacs.div,0.5851487690853147,109,13
0,0.08035714285714286,0.9903846153846154,CS,0.5870211364294816,112,13
0,0.1111111111111111,1.0,adacs,0.5892627854307451,108,14
0,0.1619047619047619,0.9166666666666666,adacs.div,0.5853140004816205,105,14
0,0.11538461538461539,0.71875,CS,0.5928407047764581,78,14
0,0.13402061855670103,0.865979381443299,adacs,0.5838886036371392,97,15
0,0.0898876404494382,0.8350515463917526,adacs.div,0.5711465754445342,89,15
0,0.08163265306122448,0.4639175257731959,CS,0.5926494258409872,49,15
0,0.05785123966942149,0.9827586206896551,adacs,0.594048454796248,121,16
0,0.049586776859504134,0.9913793103448276,adacs.div,0.5945383733142284,121,16
0,0.09375,1.0,CS,0.5948446140431503,128,16
0,0.1206896551724138,0.9622641509433962,adacs,0.5875560909358041,116,17
0,0.03488372093023256,0.7830188679245284,adacs.div,0.5679419495682319,86,17
0,0.07079646017699115,0.9905660377358491,CS,0.5874597075481754,113,17
0,0.09174311926605505,1.0,adacs,0.5899466382442449,109,18
0,0.05714285714285714,1.0,adacs.div,0.5899466382442449,105,18
0,0.09174311926605505,1.0,CS,0.5899466382442448,109,18
0,0.11504424778761062,0.9900990099009901,adacs,0.5873675787050503,113,19
0,0.10714285714285714,0.9900990099009901,adacs.div,0.5864255717685577,112,19
0,0.09174311926605505,0.9801980198019802,CS,0.5874669383979689,109,19
